Referencia,Detalle ext. 2 (talla),Detalle ext. 1 (color),Desc. item,Promedio de Costo prom. unit.
017001,M,NEGRO,FAJA RELOJ DE ARENA,76.000
017001,L,BEIGE,FAJA RELOJ DE ARENA,78.000
017001,S,NEGRO,FAJA RELOJ DE ARENA,75.000
018220,S,NEGRO,FAJA MEDIANA COMPRESION,68.000
041100,M,NEGRO,SHORT CLASICO,46.000
041100,S,BEIGE,SHORT CLASICO,45.000
043900,L,NEGRO,PANTY MOLDEADOR,38.000
031200,M,NEGRO,CHALECO Y CINTURILLA,35.200
031200,L,BEIGE,CHALECO Y CINTURILLA,36.000
055400,M,NEGRO,BRASIER CLASICO,43.000
055400,S,BEIGE,BRA LUXURY,44.000
044100,M,NEGRO,TRUSA CONTROL,31.000
