Inicio del informe;Fin del informe;Nombre de la campaña;Clics (todos);CTR (todos);Costo por resultados;Indicador de resultado;Importe gastado (COP)
2026-09-07;2026-09-11;🟢ABO_COL_PRO_(Winners)_Shorts_26;1240;1,82;18.500;compras;1.850.000
2026-09-07;2026-09-11;🟢CBO_COL_PRO_SHORTS;980;1,54;21.200;compras;1.240.000
2026-09-07;2026-09-11;🟣ABO_COL_PRO_Fajas_Retargeting;2140;2,11;16.800;compras;3.420.000
2026-09-07;2026-09-11;Trafico frio | Colombia | Sep 2026;3180;0,94;24.500;compras;2.960.000
2026-09-07;2026-09-11;B2B | Sep 2026 | CP Formulario | Colombia | Pub Medico y distribuidores;640;1,02;48.000;clientes potenciales;1.680.000
2026-09-07;2026-09-11;Mensajes a Wpp Yure | Sector Médico y Estético | Sep 2026;420;0,88;52.000;mensajes;890.000
2026-09-07;2026-09-11;Mensajes a Wpp | Sector Médico y Estético | Sep 2026 Campaña;510;0,95;44.000;mensajes;740.000
2026-09-01;2026-09-06;🟣ABO_COL_PRO_Fajas_Retargeting;2480;2,05;17.400;compras;3.980.000
2026-09-01;2026-09-06;🟢CBO_COL_PRO_SHORTS;1120;1,48;22.000;compras;1.460.000
2026-09-01;2026-09-06;B2B | Sep 2026 | CP Formulario | Colombia | Pub Medico y distribuidores;580;0,98;50.000;clientes potenciales;1.420.000
