fecha,sku,categoria,unidades_vendidas,ingreso_bruto,descuento_aplicado,codigo_descuento
2026-09-07,017001-NEGRO-M,Faja Reloj de Arena,4,760000,76000,FAJITEX15
2026-09-07,017001-BEIGE-L,Faja Reloj de Arena,3,570000,0,
2026-09-08,018220-NEGRO-S,Mediana Compresión,2,340000,34000,MOLDEA10
2026-09-08,204410-BEIGE-L,Línea Luxury,2,520000,52000,VIP20
2026-09-09,512330-NEGRO-M,Línea Luxury,1,290000,0,
2026-09-09,026950-AZUL-L,Fajas,5,600000,60000,MOLDEA10
2026-09-10,092961-BLANCO-M,Fajas,2,280000,0,
2026-09-08,041100-NEGRO-M,Short,6,600000,72000,SHORT12
2026-09-09,041100-BEIGE-S,Short,4,400000,40000,SHORT12
2026-09-10,043900-NEGRO-L,Panty Moldeador,3,255000,25500,MOLDEA10
2026-09-09,031200-NEGRO-M,Chaleco y Cinturilla,5,400000,32000,CINTU10
2026-09-10,031200-BEIGE-L,Chaleco y Cinturilla,3,240000,0,
2026-09-08,055400-NEGRO-M,Brasier,4,280000,39200,BRA20
2026-09-10,055400-BEIGE-S,Bra Luxury,2,160000,16000,BRA20
2026-09-09,044100-NEGRO-M,Trusa,3,180000,18000,MOLDEA10
2026-09-10,099000-DORADO-U,Accesorios,2,90000,0,
2026-08-31,017001-NEGRO-M,Faja Reloj de Arena,7,1330000,133000,FAJITEX15
2026-09-01,041100-NEGRO-M,Short,5,500000,50000,SHORT12
2026-09-02,031200-NEGRO-M,Chaleco y Cinturilla,4,320000,25600,CINTU10
2026-09-03,055400-NEGRO-M,Brasier,3,210000,29400,BRA20
2026-08-26,017001-BEIGE-L,Faja Reloj de Arena,6,1140000,114000,FAJITEX15
2026-08-27,041100-NEGRO-M,Short,4,400000,40000,SHORT12
